ID,X,Y
ATC03015,287715,722720
ATC03016,279500,722600
ATC06001,247935,728070
ATC00003,232240,733760
108502,229960,738800
ATC01327,205800,778150
ATC00002,208250,771500
ATC01032,208900,758550
ATC01326,205600,759300
ATCSW033,247917,632583
ATC08086,237995,681780
ATC06011,275000,697000
ATC08119,233500,701100
ATC02035,343930,849160
ATC02036,341230,851350
ATC03025,309375,727470
ATC03022,300325,743120
ATC01167,263650,785850
ATC01056,305050,826600
ATC01007,271140,841335
ATC01050,245950,784950
JTC00145,251600,826600
ATC01166,235900,815700
ATC01037,232400,801750
108690,217060,779130
ATC08060,190180,733900
ATC06003,258180,722010
ATC06002,258490,724770
ATC06006,268550,703500
ATC08090,229800,705000
ATC08063,215525,710095
ATC08058,184670,667305
ATC03118,341100,732500
JTC00057,372520,771744
JTC19203,359738,738635
ATCPT003,333300,718200
